ObjectEn,ObjectFr,SizeInMeter,URL
Distance to Betelgeuse,Distance de Betelgeuse,5184480000000000000.000000000,https://en.wikipedia.org/wiki/Betelgeuse
Distance to Rigel,Distance de Rigel,7284760000000000000.000000000,https://starlust.org/the-brightest-stars-in-the-night-sky/
Distance to Orion nebulae,Distance de la nébuleuse d'Orion,12715200000000000000.000000000,https://en.wikipedia.org/wiki/Orion_Nebula
Distance to V762 Cassiopeia,Distance de V762 Cassiopeia,26150400000000000000.000000000,https://www.universeguide.com/star/5926/v762cassiopeiae
Distance to the galactic center,Distance du centre de la galaxie,245979000000000000000.000000000,https://en.wikipedia.org/wiki/Galactic_Center
Milky way galacy stellar disk diameter,Diamètre du disque stellaire de la galaxie voie lacté,1135289999999999934464.000000000,https://www.sciencenews.org/article/astronomers-have-found-edge-milky-way-size
Magelan Cluster distance,Distance du nuage de magellan,1542099999999999868928.00000000,https://en.wikipedia.org/wiki/Large_Magellanic_Cloud
"Nearest Galaxy, Andromeda (M31)",Distance la galaxie d'andromède (M31),23610000000000001572864.0000000,https://en.wikipedia.org/wiki/Andromeda_Galaxy
Local group diameter,Diamètre du groupe local,89999999999999995805696.00000,https://en.wikipedia.org/wiki/Local_Group
Whirlpool Galaxy (M51) distance,Distance de M51 ou galaxie du Tourbillon,293282999999999988727808.000000000,https://en.wikipedia.org/wiki/Whirlpool_Galaxy
Sombrero Galaxy (M104) distance,Distance de M105 ou la galaxie du sombrero,294228999999999996592128.000000000,https://en.wikipedia.org/wiki/Sombrero_Galaxy
Distance to the M87 Black Hole,Distance de trous noir de M87,520339999999999969591296.00000000,"https://www.eso.org/public/images/eso2208-eht-mwe/#:~:text=M87*%2C%20which%20lies%2055%20million,same%20size%20in%20the%20sky."
Quasar J0313–1806 Distance,Distance du quasar le plus loins (J0313–1806),126679000000000005496635392.000000000,https://en.wikipedia.org/wiki/J0313%E2%80%931806
Most distant known galaxy (GN-z11),Distance de la galaxie la plus éloignée (GN-z11),302743000000000012610174976.000000000,https://en.wikipedia.org/wiki/GN-z11
Observable universe diameter,Diamètre de l'univer visible,880000000000000028185722880.00000,https://en.wikipedia.org/wiki/Observable_universe
